class,uniprot_id,name
negative,A0A1Y3VVE6,A0A1Y3VVE6_9BACT beta-glucosidase OS=Butyricimonas sp. An62 OX=1965649 GN=B5G13_10250 PE=3 SV=1
positive,A0A6N2VX12,A0A6N2VX12_BACUN Thermostable beta-glucosidase B OS=Bacteroides uniformis OX=820 GN=bglB_2 PE=3 SV=1
negative,A0AAD8VD18,A0AAD8VD18_9PEZI Probable beta-glucosidase btgE OS=Colletotrichum navitas OX=681940 GN=LY79DRAFT_8175 PE=4 SV=1
positive,A0A8H9W8L2,A0A8H9W8L2_9THEM beta-glucosidase OS=Thermotoga sp OX=28240 GN=ENO44_02990 PE=3 SV=1
negative,A0XZR8,A0XZR8_9GAMM Beta-glucosidase OS=Alteromonadales bacterium TW-7 OX=156578 GN=ATW7_07854 PE=3 SV=1
positive,A0A0M2HRU0,A0A0M2HRU0_9MICO Thermostable beta-glucosidase B OS=Microbacterium hydrocarbonoxydans OX=273678 GN=bglB PE=3 SV=1
negative,A0A0D2GW76,A0A0D2GW76_9EURO Rhinocladiella mackenziei CBS 650.93 unplaced genomic scaffold supercont1.6- whole genome shotgun sequence OS=Rhinocladiella mackenziei CBS 650.93 OX=1442369 GN=Z518_08419 PE=3 SV=1
positive,A0A7Y6CVG8,A0A7Y6CVG8_9ACTN beta-glucosidase (Fragment) OS=Thermoleophilia bacterium OX=2026888 GN=HOQ03_09385 PE=3 SV=1
negative,A0A239LY77,A0A239LY77_9BACT beta-glucosidase OS=Granulicella rosea OX=474952 GN=SAMN05421770_10887 PE=3 SV=1
positive,A0A644VRR5,A0A644VRR5_9ZZZZ Thermostable beta-glucosidase B OS=bioreactor metagenome OX=1076179 GN=bglB_2 PE=3 SV=1
negative,A0AA40YCJ6,A0AA40YCJ6_9ACTN Beta-glucosidase OS=Streptomyces sp. I5 OX=2759947 GN=H4N47_11440 PE=3 SV=1
positive,A0A7C6Q647,A0A7C6Q647_THESZ beta-glucosidase OS=Thermoanaerobacterium sp OX=40549 GN=GXX41_11825 PE=3 SV=1
negative,A0A9P7NKV9,A0A9P7NKV9_9HYPO beta-glucosidase OS=Claviceps sp. Clav32 group G5 OX=2559230 GN=E4U19_005718 PE=3 SV=1
positive,A0A3Q9J5E0,A0A3Q9J5E0_9MICO Thermostable beta-glucosidase B OS=Microbacterium lemovicicum OX=1072463 GN=bglB_1 PE=3 SV=1
negative,A0A3A8UEL1,A0A3A8UEL1_UNCXX Beta-glucosidase OS=bacterium 1XD21-70 OX=2320103 GN=D7V81_02955 PE=3 SV=1
positive,G0S9P9,G0S9P9_CHATD Probable beta-glucosidase F OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046670 PE=3 SV=1
negative,A0A3D9CH02,A0A3D9CH02_9FLAO beta-glucosidase OS=Chryseobacterium flavum OX=415851 GN=DRF59_18040 PE=4 SV=1
positive,A0A1E3AM50,A0A1E3AM50_9FIRM Thermostable beta-glucosidase B OS=Eisenbergiella tayi OX=1432052 GN=bglB_8 PE=3 SV=1
negative,A0A8D7A3F8,A0A8D7A3F8_MUSAM beta-glucosidase OS=Musa acuminata subsp. malaccensis OX=214687 GN=GSMUA_119880.1 PE=4 SV=1
positive,A0A173VCJ8,A0A173VCJ8_9FIRM Thermostable beta-glucosidase B OS=Roseburia inulinivorans OX=360807 GN=bglB_5 PE=3 SV=1
negative,A0A418N374,A0A418N374_9FLAO beta-glucosidase OS=Flagellimonas aequoris OX=2306997 GN=bglX PE=3 SV=1
positive,W9EAC3,W9EAC3_9THEO beta-glucosidase OS=Thermoanaerobacterium aotearoense SCUT27 OX=1421016 GN=V518_1745 PE=3 SV=1
negative,A0A412ZFJ6,A0A412ZFJ6_9FIRM beta-glucosidase OS=Enterocloster bolteae OX=208479 GN=DWW02_04300 PE=4 SV=1
positive,A0A455SET1,A0A455SET1_9CHLR Beta-glucosidase OS=Thermosporothrix sp. COM3 OX=2490863 GN=KTC_17240 PE=3 SV=1
negative,W2YJI4,W2YJI4_PHYNI beta-glucosidase OS=Phytophthora nicotianae P10297 OX=1317064 GN=F442_16670 PE=3 SV=1
positive,A0A1C5Y8H1,A0A1C5Y8H1_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_5 PE=3 SV=1
negative,A0A364N1A5,A0A364N1A5_9PLEO beta-glucosidase OS=Stemphylium lycopersici OX=183478 GN=DDE83_005693 PE=3 SV=1
positive,B9K759,B9K759_THENN beta-glucosidase OS=Thermotoga neapolitana (strain ATCC 49049 / DSM 4359 / NBRC 107923 / NS-E) OX=309803 GN=CTN_0616 PE=3 SV=1
negative,A0A7C2DDB7,A0A7C2DDB7_9BACT beta-glucosidase OS=Bryobacterales bacterium OX=2026791 GN=ENO96_02060 PE=3 SV=1
positive,A0A4U9CUQ6,A0A4U9CUQ6_RAOTE Thermostable beta-glucosidase B OS=Raoultella terrigena OX=577 GN=bglB PE=3 SV=1
negative,A0A7X8FWF9,A0A7X8FWF9_9SPIR Beta-glucosidase OS=Treponema sp OX=166 GN=GX290_08340 PE=3 SV=1
positive,A0A1A8T279,A0A1A8T279_9GAMM Thermostable beta-glucosidase B OS=Marinomonas spartinae OX=1792290 GN=bglB PE=3 SV=1
negative,A0A520C5W0,A0A520C5W0_9BURK beta-glucosidase OS=Rubrivivax sp OX=50259 GN=EOP35_00230 PE=3 SV=1
positive,A0A2X0U113,A0A2X0U113_9ACTO Thermostable beta-glucosidase B OS=Schaalia odontolytica OX=1660 GN=bglB_4 PE=3 SV=1
negative,A0A0B8QJZ1,A0A0B8QJZ1_9VIBR Beta-glucosidase OS=Vibrio ishigakensis OX=1481914 GN=JCM19241_3315 PE=3 SV=1
positive,A0A5J4KA29,A0A5J4KA29_9CHLR beta-glucosidase OS=Thermogemmatispora aurantia OX=2045279 GN=KTAU_21580 PE=4 SV=1
negative,A0A3R8RVE0,A0A3R8RVE0_9FLAO beta-glucosidase OS=Chryseobacterium sp. SC28 OX=2268028 GN=DTW91_05735 PE=3 SV=1
positive,A0A848VMC9,A0A848VMC9_9BACT beta-glucosidase OS=Rhodothermales bacterium OX=2306054 GN=HKN29_08505 PE=4 SV=1
negative,A0A4Q5VHI5,A0A4Q5VHI5_9GAMM beta-glucosidase OS=Gammaproteobacteria bacterium OX=1913989 GN=EOO52_07135 PE=4 SV=1
positive,A0A3D6D929,A0A3D6D929_9BACT Beta-galactosidase OS=Thermotogota bacterium OX=2053689 GN=DHV12_01755 PE=3 SV=1
negative,A0A0J8BRK8,A0A0J8BRK8_STRVR beta-glucosidase OS=Streptomyces viridochromogenes OX=1938 GN=ACM01_39845 PE=4 SV=1
positive,B8D213,B8D213_HALOH Beta-glucosidase OS=Halothermothrix orenii (strain H 168 / OCM 544 / DSM 9562) OX=373903 GN=Hore_04820 PE=3 SV=1
negative,A0A949RST6,A0A949RST6_9CHLR Beta-glucosidase OS=Anaerolineales bacterium OX=2073117 GN=bglA_2 PE=3 SV=1
positive,A0A7W3MWS2,A0A7W3MWS2_9ACTN beta-glucosidase OS=Thermomonospora cellulosilytica OX=1411118 GN=HNR21_002203 PE=4 SV=1
negative,A0A0C3HC47,A0A0C3HC47_OIDMZ beta-glucosidase OS=Oidiodendron maius (strain Zn) OX=913774 GN=OIDMADRAFT_55323 PE=3 SV=1
positive,G2R7W7,G2R7W7_THETT beta-glucosidase OS=Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126) OX=578455 GN=THITE_125239 PE=3 SV=1
negative,A0A485DJW0,A0A485DJW0_YEREN Beta-glucosidase OS=Yersinia enterocolitica OX=630 GN=arbB PE=3 SV=1
positive,A0A1C6H2N4,A0A1C6H2N4_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_7 PE=3 SV=1
negative,A0A218Z4S2,A0A218Z4S2_9HELO beta-glucosidase OS=Marssonina coronariae OX=503106 GN=B2J93_3558 PE=3 SV=1
positive,A0AAN2DXN6,A0AAN2DXN6_LACPA Thermostable beta-glucosidase B OS=Lacticaseibacillus paracasei OX=1597 GN=bglB PE=4 SV=1
negative,A0A8H4N884,A0A8H4N884_9PEZI beta-glucosidase OS=Botryosphaeria dothidea OX=55169 GN=GTA08_BOTSDO02180 PE=3 SV=1
positive,A0A1M6FUN3,A0A1M6FUN3_9FLAO beta-glucosidase OS=Pseudozobellia thermophila OX=192903 GN=SAMN04488513_102560 PE=3 SV=1
negative,A0A420NJN4,A0A420NJN4_FUSOX beta-glucosidase OS=Fusarium oxysporum OX=5507 GN=BFJ69_g4265 PE=3 SV=1
positive,A0A6N3GZV2,A0A6N3GZV2_MEDGN Thermostable beta-glucosidase B OS=Mediterraneibacter gnavus OX=33038 GN=bglB_3 PE=3 SV=1
negative,Q7S6Y6,Q7S6Y6_NEUCR beta-glucosidase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=gh3-5 PE=3 SV=2
positive,A0A1V5RJ82,A0A1V5RJ82_9CHLR Thermostable beta-glucosidase B OS=Chloroflexi bacterium ADurb.Bin325 OX=1852859 GN=bglB PE=3 SV=1
negative,A0A286P1F6,A0A286P1F6_9PEZI beta-glucosidase (Fragment) OS=Plurivorosphaerella nawae OX=798215 GN=glycoside hydrolase family 3 PE=3 SV=1
positive,I7MIP4,I7MIP4_TETTS beta-glucosidase OS=Tetrahymena thermophila (strain SB210) OX=312017 GN=TTHERM_00521950 PE=4 SV=2
negative,X0AAA7,X0AAA7_FUSOX beta-glucosidase OS=Fusarium oxysporum f. sp. melonis 26406 OX=1089452 GN=FOMG_07387 PE=3 SV=1
positive,A0A1C6ASV2,A0A1C6ASV2_9FIRM Thermostable beta-glucosidase B OS=uncultured Flavonifractor sp OX=1193534 GN=bglB_1 PE=3 SV=1
negative,A0A1L9TE14,A0A1L9TE14_9EURO Probable beta-glucosidase G OS=Aspergillus sydowii CBS 593.65 OX=1036612 GN=ASPSYDRAFT_180510 PE=3 SV=1
positive,A0A177HI50,A0A177HI50_9ACTN Thermostable beta-glucosidase B OS=Streptomyces jeddahensis OX=1716141 GN=bglB_1 PE=3 SV=1
negative,F8X2Q0,F8X2Q0_9BACT beta-glucosidase OS=Dysgonomonas mossii DSM 22836 OX=742767 GN=HMPREF9456_02542 PE=3 SV=1
positive,A0A5J4QFF1,A0A5J4QFF1_9ZZZZ Thermostable beta-glucosidase B OS=termite gut metagenome OX=433724 GN=EZS27_030380 PE=3 SV=1
negative,A0A4Y7PV24,A0A4Y7PV24_9AGAM beta-glucosidase OS=Rickenella mellea OX=50990 GN=BD410DRAFT_900550 PE=3 SV=1
positive,B7GM33,B7GM33_ANOFW Beta-glucosidase OS=Anoxybacillus flavithermus (strain DSM 21510 / WK1) OX=491915 GN=Aflv_2360 PE=3 SV=1
negative,A0A9R1Q353,A0A9R1Q353_TRITD 4-hydroxy-7-methoxy-3-oxo-3-4-dihydro-2H-1-4-benzoxazin-2-yl glucosidebeta-D-glucosidase OS=Triticum turgidum subsp. durum OX=4567 GN=TRITD_2Bv1G258550 PE=3 SV=1
positive,A0A422MD97,A0A422MD97_LACPA Thermostable beta-glucosidase B OS=Lacticaseibacillus paracasei OX=1597 GN=FAM18172_00625 PE=3 SV=1
negative,B8MZ41,AGDC_ASPFN Probable alpha/beta-glucosidase agdC OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=agdC PE=3 SV=1
positive,A0A060CKK5,A0A060CKK5_9THEM beta-glucosidase (Fragment) OS=uncultured Thermotoga sp OX=388610 PE=4 SV=1
negative,A0A9N9LRY8,A0A9N9LRY8_9HELO Probable beta-glucosidase E OS=Hymenoscyphus albidus OX=595503 GN=HYALB_00008035 PE=3 SV=1
positive,A0A2S2CRT3,A0A2S2CRT3_9PROT Beta-glucosidase OS=Azospirillum thermophilum OX=2202148 GN=DEW08_13935 PE=3 SV=1
negative,A0A7Y5VGW6,A0A7Y5VGW6_9BACT beta-glucosidase OS=Acidobacteriaceae bacterium OX=2052142 GN=bglX PE=3 SV=1
positive,B8CYA8,B8CYA8_HALOH Beta-glucosidase OS=Halothermothrix orenii (strain H 168 / OCM 544 / DSM 9562) OX=373903 GN=Hore_15280 PE=1 SV=1
negative,A0A374UVU6,A0A374UVU6_9BACE beta-glucosidase OS=Bacteroides sp. OM08-17BH OX=2292285 GN=DXC20_08050 PE=3 SV=1
positive,A0A1C6B835,A0A1C6B835_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_6 PE=3 SV=1
negative,A0A8K0JB02,A0A8K0JB02_9HYPO Probable alpha/beta-glucosidase agdC OS=Claviceps africana OX=83212 GN=E4U42_008041 PE=3 SV=1
positive,D3T5Z4,D3T5Z4_THEIA beta-glucosidase OS=Thermoanaerobacter italicus (strain DSM 9252 / Ab9) OX=580331 GN=Thit_0198 PE=4 SV=1
negative,A0A821A558,A0A821A558_9BILA beta-glucosidase OS=Rotaria sp. Silwood2 OX=2762512 GN=RMH319_LOCUS40831 PE=3 SV=1
positive,A0A381CC54,A0A381CC54_9ENTR Thermostable beta-glucosidase B OS=Buttiauxella agrestis OX=82977 GN=bglB PE=3 SV=1
negative,A0A6N2XF04,A0A6N2XF04_9BACE Periplasmic beta-glucosidase OS=Bacteroides intestinalis OX=329854 GN=bglX_10 PE=4 SV=1
positive,A0A1S8T636,A0A1S8T636_9CLOT Thermostable beta-glucosidase B OS=Clostridium sp. BL-8 OX=349938 GN=bglB_2 PE=3 SV=1
negative,A0A1I5RHB4,A0A1I5RHB4_9SPHN beta-glucosidase OS=Sphingomonas rubra OX=634430 GN=SAMN04488241_103228 PE=4 SV=1
positive,A0A971R1V5,A0A971R1V5_9THEM Glycoside hydrolase family 1 protein OS=Thermotogaceae bacterium OX=2268206 GN=GXY62_07695 PE=3 SV=1
negative,A0A4V2TNU8,A0A4V2TNU8_9GAMM beta-glucosidase OS=Rahnella sp. JUb53 OX=2485128 GN=EC840_101670 PE=4 SV=1
positive,A0A7J4PCE8,A0A7J4PCE8_UNCTM beta-glucosidase OS=Thermoplasmata archaeon OX=1906666 GN=HA346_03260 PE=3 SV=1
negative,A0A6L3K5E3,A0A6L3K5E3_9BACE beta-glucosidase OS=Bacteroides cellulosilyticus OX=246787 GN=bglX PE=3 SV=1
positive,A0A7C3DHZ7,A0A7C3DHZ7_MEIRU Beta-glucosidase OS=Meiothermus ruber OX=277 GN=ENS82_14370 PE=3 SV=1
negative,A0A7K6T8B9,A0A7K6T8B9_CALNI beta-glucosidase (Fragment) OS=Caloenas nicobarica OX=187106 GN=Bgld PE=3 SV=1
positive,A0A2X2RM75,A0A2X2RM75_CAPOC Thermostable beta-glucosidase B OS=Capnocytophaga ochracea OX=1018 GN=bglB PE=3 SV=1
negative,A0A1L9WW27,A0A1L9WW27_ASPA1 beta-glucosidase OS=Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094) OX=690307 GN=ASPACDRAFT_1855922 PE=3 SV=1
positive,A0A7W3MYB1,A0A7W3MYB1_9ACTN beta-glucosidase OS=Thermomonospora cellulosilytica OX=1411118 GN=HNR21_003032 PE=3 SV=1
negative,A0A2V7NK27,A0A2V7NK27_UNCGE beta-glucosidase (Fragment) OS=Gemmatimonadota bacterium OX=2026742 GN=DMD55_12295 PE=3 SV=1
positive,A0A2K9ZHJ6,A0A2K9ZHJ6_RHILE Thermostable beta-glucosidase B OS=Rhizobium leguminosarum OX=384 GN=bglB PE=3 SV=1
negative,A0A1B7YWV1,A0A1B7YWV1_COLHI beta-glucosidase OS=Colletotrichum higginsianum (strain IMI 349063) OX=759273 GN=CH63R_01696 PE=3 SV=1
positive,L0EBS9,L0EBS9_THECK Beta-glucosidase OS=Thermobacillus composti (strain DSM 18247 / JCM 13945 / KWC4) OX=717605 GN=Theco_0949 PE=3 SV=1
negative,A0A4D7K0W0,A0A4D7K0W0_9BACT beta-glucosidase OS=Roseivirga pacifica OX=1267423 GN=DCC35_07045 PE=4 SV=1
positive,A0A1C5QUZ9,A0A1C5QUZ9_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_1 PE=3 SV=1
negative,A0A428P8V2,A0A428P8V2_9HYPO beta-glucosidase OS=Fusarium duplospermum OX=1325734 GN=CEP54_012419 PE=3 SV=1
positive,A0A378WQD4,A0A378WQD4_9NOCA Thermostable beta-glucosidase B OS=Nocardia africana OX=134964 GN=bglB_2 PE=3 SV=1
negative,A0A0F4G5N1,A0A0F4G5N1_9PEZI Probable beta-glucosidase G OS=Zymoseptoria brevis OX=1047168 GN=TI39_contig5832g00026 PE=3 SV=1
positive,A0A143HR17,A0A143HR17_9GAMM beta-glucosidase OS=Microbulbifer thermotolerans OX=252514 GN=A3224_10605 PE=4 SV=1
negative,A0A4S9CUM5,A0A4S9CUM5_AURPU beta-glucosidase OS=Aureobasidium pullulans OX=5580 GN=D6D13_04973 PE=3 SV=1
positive,A0A7V2AZ41,A0A7V2AZ41_RHOMR beta-glucosidase OS=Rhodothermus marinus OX=29549 GN=ENO59_02140 PE=3 SV=1
negative,A0A1V6TJU1,A0A1V6TJU1_9EURO Probable beta-glucosidase btgE OS=Penicillium steckii OX=303698 GN=PENSTE_c005G01342 PE=4 SV=1
positive,A0A5M8P3P5,A0A5M8P3P5_9BACT Thermostable beta-glucosidase B OS=Candidatus Ordinivivax streblomastigis OX=2540710 GN=EZS26_000841 PE=3 SV=1
negative,A0A949YZ36,A0A949YZ36_UNCDE Beta-glucosidase OS=Deltaproteobacteria bacterium OX=2026735 GN=JO121_23665 PE=3 SV=1
positive,A0A1C5ZE06,A0A1C5ZE06_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_5 PE=3 SV=1
negative,A0A0W1A3I4,A0A0W1A3I4_9GAMM beta-glucosidase OS=Legionella worsleiensis OX=45076 GN=Lwor_2504 PE=4 SV=1
positive,A0A8H9W9E2,A0A8H9W9E2_9THEM Beta-glucosidase OS=Thermotoga sp OX=28240 GN=ENO44_05230 PE=3 SV=1
negative,A0A1J3I385,A0A1J3I385_NOCCA beta-glucosidase (Fragment) OS=Noccaea caerulescens OX=107243 GN=LE_TR17214_c8_g1_i1_g.55384 PE=4 SV=1
positive,A0A449BBP0,A0A449BBP0_HAPAX Thermostable beta-glucosidase B OS=Haploplasma axanthum OX=29552 GN=bglB_1 PE=3 SV=1
negative,A0A0Q5LGS4,A0A0Q5LGS4_9MICO beta-glucosidase OS=Microbacterium sp. Leaf161 OX=1736281 GN=ASF87_03015 PE=3 SV=1
positive,A0A1C5MDY6,A0A1C5MDY6_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_1 PE=3 SV=1
negative,A0A0D6Z9S6,A0A0D6Z9S6_9BACI beta-glucosidase OS=Mesobacillus subterraneus OX=285983 GN=UB32_12060 PE=3 SV=1
positive,A0A1E7WUP0,A0A1E7WUP0_9BURK Thermostable beta-glucosidase B OS=Duganella phyllosphaerae OX=762836 GN=bglB PE=3 SV=1
negative,I1E031,I1E031_9GAMM Beta-glucosidase OS=Rheinheimera nanhaiensis E407-8 OX=562729 GN=abg PE=3 SV=1
positive,A0A1C6HDX8,A0A1C6HDX8_9FIRM Thermostable beta-glucosidase B OS=uncultured Flavonifractor sp OX=1193534 GN=bglB_12 PE=3 SV=1
negative,A0A919TD40,A0A919TD40_9ACTN beta-glucosidase OS=Actinoplanes toevensis OX=571911 GN=Ato02nite_050160 PE=3 SV=1
positive,Q8GEB4,Q8GEB4_THETH Beta-glucosidase OS=Thermus thermophilus OX=274 PE=3 SV=1
negative,A0A2Z4LSZ9,A0A2Z4LSZ9_9FLAO beta-glucosidase OS=Flagellimonas maritima OX=1383885 GN=HME9304_01959 PE=3 SV=1
positive,A0A564S9R0,A0A564S9R0_9FIRM Thermostable beta-glucosidase B OS=[Ruminococcus] torques OX=33039 GN=bglB_2 PE=3 SV=1
negative,A0AAD9D3T0,A0AAD9D3T0_GLOAC beta-glucosidase OS=Glomerella acutata OX=27357 GN=BDZ83DRAFT_564073 PE=3 SV=1
positive,A0A0F0LC11,A0A0F0LC11_9MICO Thermostable beta-glucosidase B OS=Microbacterium azadirachtae OX=582680 GN=bglB_3 PE=3 SV=1
negative,A0A5D2S8C1,A0A5D2S8C1_GOSMU beta-glucosidase OS=Gossypium mustelinum OX=34275 GN=E1A91_D13G268900v1 PE=3 SV=1
positive,A0A6N2RSE8,A0A6N2RSE8_BIFLN Thermostable beta-glucosidase B OS=Bifidobacterium longum OX=216816 GN=bglB_2 PE=3 SV=1
negative,A0A174L8A8,A0A174L8A8_BACUN Beta-glucosidase OS=Bacteroides uniformis OX=820 GN=bglB_2 PE=3 SV=1
positive,A0A143QAX3,A0A143QAX3_9NOCA Thermostable beta-glucosidase B OS=Rhodococcus sp. PBTS 1 OX=1653478 GN=bglB PE=3 SV=1
negative,A0A093UFF1,A0A093UFF1_9GAMM beta-glucosidase OS=Pectobacterium betavasculorum OX=55207 GN=KP22_02445 PE=3 SV=1
positive,Q1J2J3,Q1J2J3_DEIGD Beta-glucosidase OS=Deinococcus geothermalis (strain DSM 11300 / CIP 105573 / AG-3a) OX=319795 GN=Dgeo_2862 PE=3 SV=1
negative,A0A2S9CZG9,A0A2S9CZG9_CHRCI beta-glucosidase OS=Chryseobacterium culicis OX=680127 GN=CQ022_06600 PE=3 SV=1
positive,A0A7C0X8K4,A0A7C0X8K4_9BACT beta-glucosidase OS=Thermotogales bacterium OX=2093812 GN=ENG58_00785 PE=3 SV=1
negative,A0A374NYA6,A0A374NYA6_9FIRM Beta-glucosidase OS=Hungatella hathewayi OX=154046 GN=DXD79_29050 PE=3 SV=1
positive,A0A1C6KCH7,A0A1C6KCH7_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_5 PE=3 SV=1
negative,A0A6A9SKA8,A0A6A9SKA8_9EURY beta-glucosidase OS=Haloarcula sp. CBA1122 OX=2668069 GN=GJ630_13500 PE=4 SV=1
positive,A0A174QK10,A0A174QK10_9FIRM Thermostable beta-glucosidase B OS=Fusicatenibacter saccharivorans OX=1150298 GN=bglB_9 PE=3 SV=1
negative,A0A140N831,A0A140N831_ECOBD beta-glucosidase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1526 PE=3 SV=1
positive,A0A4P6LU31,A0A4P6LU31_9FIRM Thermostable beta-glucosidase B OS=Blautia producta OX=33035 GN=bglB_1 PE=3 SV=1
negative,A0A420M867,A0A420M867_FUSOX beta-glucosidase OS=Fusarium oxysporum OX=5507 GN=BFJ69_g17462 PE=3 SV=1
positive,M8CYT6,M8CYT6_THETY beta-glucosidase OS=Thermoanaerobacter thermohydrosulfuricus WC1 OX=1198630 GN=TthWC1_0946 PE=3 SV=1
negative,A0A1S4CQM1,A0A1S4CQM1_TOBAC beta-glucosidase OS=Nicotiana tabacum OX=4097 GN=LOC107821430 PE=4 SV=1
positive,A0A564VSU7,A0A564VSU7_9BIFI Thermostable beta-glucosidase B OS=Bifidobacterium catenulatum OX=1686 GN=bglB_2 PE=3 SV=1
negative,A0A2N0SRN2,A0A2N0SRN2_BIFLN beta-glucosidase OS=Bifidobacterium longum OX=216816 GN=DPC6316_1510 PE=4 SV=1
positive,A0A1V6J379,A0A1V6J379_9BACT Thermostable beta-glucosidase B OS=Bacteroidetes bacterium ADurb.Bin013 OX=1852797 GN=bglB_4 PE=3 SV=1
negative,A0A356SCD0,A0A356SCD0_9GAMM beta-glucosidase OS=Halieaceae bacterium OX=2026743 GN=DD655_01660 PE=4 SV=1
positive,A0A1C6DJ25,A0A1C6DJ25_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_2 PE=3 SV=1
negative,A0A935X7T5,A0A935X7T5_UNCGE beta-glucosidase OS=Gemmatimonadota bacterium OX=2026742 GN=bglX PE=3 SV=1
positive,A0A1C6L823,A0A1C6L823_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_8 PE=3 SV=1
negative,A0A1Q6G3C0,A0A1Q6G3C0_9BACE beta-glucosidase OS=Bacteroides sp. 41_26 OX=1896973 GN=BHV71_07420 PE=4 SV=1
positive,A0A3N6GGA4,A0A3N6GGA4_9ACTN Thermostable beta-glucosidase B OS=Streptomyces sp. ADI95-17 OX=1522759 GN=bglB PE=3 SV=1
